In-app Purchases,Languages,Size,Original Release Date,Current Version Release Date,game_id
,EN,48414720.0,13/10/2016,13/10/2016,001bc7ed-5a76-4933-8de0-6670c01ff83d
"2.99, 0.99, 2.99, 9.99, 4.99, 9.99",EN,242867200.0,20/08/2013,14/11/2016,42012326-b0c5-418d-a318-838f351fb805
,EN,748637184.0,13/04/2017,31/01/2019,c35363bd-e8e0-4e52-a963-0e2ff431e39d
,EN,117329920.0,28/03/2019,28/03/2019,2ba8c7be-d63d-432d-a407-6bb7e9ecd2a7
,EN,20264890.0,16/06/2010,24/08/2010,ed93d3c2-895f-4547-b5eb-3b81ee197c64
"3.99, 0.99, 9.99, 1.99, 7.99, 15.99, 27.99, 49.99",EN,614406144.0,14/07/2015,11/10/2018,4acf194c-7be6-44b9-b7ce-7f57ebf43093
,EN,211991552.0,1/12/2018,1/12/2018,cd3b6b5e-aaea-4506-92c4-b776693dcac9
0.99,EN,317822976.0,22/02/2019,26/02/2019,260d7a41-a50c-4248-a39c-8f12a3fc850a
,ZH,5964800.0,11/10/2018,11/10/2018,4ec93c99-3929-4560-b1d6-c0b036c03a26
"1.99, 4.99, 9.99, 11.99, 25.99, 26.99, 0.99",EN,1219084288.0,28/07/2018,12/12/2018,7b818c56-35ae-4b8e-a0d5-b19f0094dfdb
"1.99, 4.99, 9.99, 4.99","EN, DE, RU",69400576.0,28/11/2017,18/12/2018,52e7d2d4-3df8-4d7a-bfc5-447f988f2ee6
,"CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",38543360.0,3/12/2014,31/05/2018,f879ba3c-be21-459d-a5f1-1740ccfd1eb8
,"DA, NL, EN, FI, FR, DE, EL, GU, HI, ID, IT, JA, KO, MS, NN, PT, RU, ZH, SV, TH, ZH",30962688.0,5/12/2016,5/12/2016,81b48a2d-0d9c-44dd-a49d-6d79e3df781e
0.99,EN,171834368.0,29/03/2017,5/10/2017,84a6598c-f318-4458-a775-be6c85c68d1e
,EN,45243392.0,29/02/2016,29/02/2016,f0d6724c-1b94-451e-a33f-98d8cbc3983d
,EN,21416960.0,22/06/2017,22/06/2017,12657524-bdf4-450f-a572-de45e1a38b0a
1.99,"CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, IT, JA, KO, NB, PL, PT, RO, RU, ZH, SK, ES, SV, ZH, TR",13266944.0,2/12/2016,22/11/2017,07db102b-b289-4a7b-9072-4d2f3dfaaf17
,EN,86540288.0,10/04/2017,10/04/2017,80c7dc42-fa07-4be6-8f69-f67aa99034b5
,"DA, NL, EN, FR, DE, IT, JA, PT, RU, ZH, ES, TH, ZH, TR",4998144.0,28/03/2014,14/08/2017,a9a61e5a-26df-4fa6-8583-4bedae35dc6d
,EN,88301568.0,21/05/2015,29/05/2015,cbf9630d-5974-4518-9599-c0450d5a8f3b
,EN,62854144.0,15/12/2011,13/01/2017,15bfb85b-5b12-48bc-8dd4-28e6a2a041a5
,EN,15187968.0,27/08/2014,5/09/2017,80c6588b-5408-4e95-bc25-0c314e1cd0e4
"0.99, 2.99, 4.99, 1.99",EN,26928128.0,24/08/2017,24/08/2017,d2f8faa8-ff1d-48a3-9285-217ad67c4fa8
,EN,12622848.0,6/01/2015,25/07/2016,e625461d-5c48-4f64-9f00-92fbf76b1d09
,EN,14145536.0,23/01/2016,21/07/2019,381957fe-b315-46ad-9c66-944caf6df983
,"EN, ES",24899584.0,27/09/2016,27/09/2016,3388a6a3-9f64-4806-bd34-bea27a53bf06
"0.99, 0.99, 2.99, 4.99, 1.99, 0.99, 2.99, 1.99, 3.99",EN,59150336.0,22/12/2016,6/02/2017,6271a545-57cc-429d-8b31-9666206b3729
,EN,48021504.0,15/04/2014,3/10/2014,db45023e-6e0d-42f9-be73-c6262501f21a
,"EN, ZH, ZH",86151168.0,2/05/2015,2/05/2015,e6da9850-93a0-40cd-80d2-f9c7f2706318
,EN,438956032.0,15/02/2015,21/11/2015,49e47871-5465-4fe7-8e63-7456deb9a2c9
2.99,EN,7733248.0,12/11/2014,12/11/2014,5258e181-f41a-4981-b8ca-0c9af4408880
"0.99, 9.99, 49.99, 99.99","ZH, ZH",90423296.0,18/04/2017,22/06/2017,369a447e-7912-477d-a03c-84e30fcde8ca
"0.99, 0.99, 1.99",EN,32169984.0,18/04/2015,18/04/2015,9f771d05-2975-49c9-adeb-70a8984bb42c
"7.99, 1.99, 0.99, 4.99, 99.99, 19.99",EN,111029248.0,26/07/2018,11/07/2019,60c2eeea-9722-47f5-92ca-95158eca9f21
,EN,30468096.0,12/05/2017,12/05/2017,f7199238-4845-4507-b76d-77b27d70df82
"2.99, 2.99, 4.99, 5.99, 9.99, 19.99, 1.99, 11.99","EN, JA, KO",67303424.0,23/02/2015,16/04/2018,53b70fdf-2179-46f4-8b24-65ef1d71dd37
,"EN, FR, DE, JA, KO, ZH",40888320.0,11/06/2017,14/06/2017,5d5cceac-f14a-4c96-a7eb-3b0472d99a23
,EN,72535040.0,8/09/2012,6/08/2018,738a7a01-173d-418a-8181-c1b7e441732b
,"EN, JA, KO, ZH, VI",22072320.0,9/03/2016,9/03/2016,5756520f-ea50-4770-a200-20e2082441b9
,EN,131236864.0,28/04/2016,28/04/2016,50388461-e4b8-4e7d-a13b-4fa644a76cad
,EN,10802176.0,19/07/2016,19/07/2016,6a1319f7-4ad8-40fd-bb46-9671231ec4e0
,EN,6556139.0,15/12/2009,16/02/2010,cae3b415-82b2-4e94-af13-dbc49237fc8f
1.99,EN,18991104.0,9/09/2016,9/09/2016,b25aa324-0c51-4879-9afd-e940151fc4a8
,"CS, FR, DE, RU",25460736.0,22/06/2014,22/06/2014,41936ce3-2af2-414d-a80e-c2a86ca9e706
,EN,4843520.0,16/05/2012,26/06/2018,9c5caead-c29a-4f32-9d93-f304de842d11
,EN,20041728.0,28/10/2016,28/10/2016,84f0b953-6d32-42fe-b739-800468048676
0.99,EN,12017664.0,21/07/2015,21/07/2015,3da6e3c8-4a5a-4575-bbc9-3aa2739d7ca0
"2.99, 19.99, 8.99, 3.99",EN,12365824.0,22/06/2014,24/06/2014,4cb0e440-4a80-4711-9b63-59510dffcc51
,EN,90958848.0,15/03/2018,23/02/2019,726b47f1-d374-4355-aea1-d91c530b1427
"1.99, 0.99, 14.99, 3.99",EN,49074176.0,2/12/2014,26/02/2015,ae047af7-4359-4102-b72f-b6b215756a16
,EN,31144960.0,14/06/2019,24/07/2019,faa7b49e-de84-4150-9066-261fbb774d8f
,"EN, FR",104089600.0,28/06/2013,20/09/2017,b0e05b07-163c-48d7-a1e7-45cd82355e07
"0.99, 2.99, 4.99, 9.99, 19.99","EN, JA, KO",16113869.0,6/01/2012,27/02/2013,107b1afc-7760-4f5e-9981-b94822504fbb
,"EN, ZH, ZH",94559232.0,22/07/2018,22/07/2018,8869fd07-5a73-4ea5-863e-dfe944800716
3.99,EN,35875840.0,13/06/2018,13/06/2018,3595cd55-3147-4a0c-ade5-80f82ece8111
"19.99, 4.99",EN,313452544.0,8/04/2019,5/07/2019,fb5059dd-9044-4e7e-bb19-02c55053f795
,"EN, JA",86491136.0,4/03/2013,24/09/2016,ad827830-7289-4480-bb03-4387e892327a
,EN,104039424.0,3/08/2019,3/08/2019,b7f392ff-f034-4d76-9bbc-b4b593bad925
,EN,20333568.0,12/12/2015,12/01/2019,1f10b028-f46d-478e-bca6-8a7b3161a1fe
"3.99, 3.99, 0.99",EN,274002944.0,9/02/2018,4/03/2018,d6098d3e-0e7d-4385-9bbb-ca098d70167f
,EN,193308672.0,31/07/2014,30/01/2018,bad54162-e543-4b0a-8982-7048c8c98117
,EN,64717824.0,17/09/2016,17/03/2017,41e07de8-01e6-4425-93e3-cb940fdd4e97
"2.99, 0.99, 1.99, 4.99, 0.99, 2.99, 9.99, 19.99, 14.99",EN,691888128.0,7/03/2013,15/05/2017,bd66707f-f8a0-47cd-87ae-2dd5aca5f2ea
,"EN, PL",17842176.0,22/11/2015,22/11/2015,fd601d4c-16ce-4a6c-b526-8954f848098f
,EN,26931200.0,7/05/2014,7/05/2014,fdf29402-5541-4e87-94d8-6d6bc9563c6c
"9.99, 2.99, 4.99, 19.99, 0.99, 99.99, 9.99, 49.99, 4.99, 9.99","EN, FR, DE, JA, KO, RU, ZH, ES, ZH",174829568.0,6/03/2018,17/10/2018,cf607929-f105-4a18-8997-cdfa34571fd2
0.99,EN,7249920.0,21/12/2014,21/12/2014,585d7e53-0b69-46fd-88ce-d5ef0f8a0b86
4.99,EN,64086016.0,13/06/2015,13/06/2015,f2cb167d-5ebe-4b9c-a567-af765d2bf9fe
"2.99, 4.99, 2.99, 0.99, 0.99, 1.99, 2.99, 18.99, 2.99, 2.99",EN,248094720.0,24/06/2015,4/09/2015,84867b98-32be-4cfb-8b99-d6e6d0665116
,EN,29330432.0,13/07/2017,18/07/2017,8161cbd4-e495-4acc-a682-061f60dc3e5d
,EN,147240960.0,9/09/2016,9/09/2016,1846afce-d84e-49fc-b9ca-b7ed3dcbab55
,EN,162508800.0,3/07/2017,3/07/2017,e2851da4-d4fb-411e-a86e-21f84211cfc7
,EN,48470016.0,8/02/2017,10/09/2018,c4576d76-4c5d-4a18-a712-94e1f2f61218
,EN,54816768.0,18/09/2015,18/09/2015,236e1fb1-ba9f-453a-95cc-59d95824eb86
"0.99, 4.99, 19.99, 9.99",EN,186808320.0,5/10/2018,26/10/2018,a433ef47-a4ef-462f-84f8-5413ecf847b4
"0.99, 1.99, 0.99, 0.99",EN,82756608.0,31/01/2018,31/01/2018,3a0e2dfd-2ae5-4d96-85f0-0fe16c344e1b
"9.99, 0.99, 4.99, 19.99, 49.99, 99.99","EN, JA, KO, ZH, ZH",2212520960.0,3/08/2018,23/07/2019,5a661027-fd62-44b8-840e-60e4ef95b59d
,EN,58463232.0,23/04/2016,21/09/2018,dbec8db4-019a-4192-9fb4-0513be270c65
,EN,134892544.0,14/09/2017,14/09/2017,135f9ae9-5de5-40e3-a946-fdc16fb8bffd
0.99,EN,47357952.0,25/03/2015,18/04/2015,812417d6-6556-4f2d-b379-3ad0a2fa28db
"0.99, 2.99",EN,30382080.0,3/11/2012,23/08/2017,8cbe1d4a-ca2a-4603-b25a-127cdc584bf1
,EN,14817280.0,9/11/2018,9/11/2018,f79fcc54-712a-4a94-8c53-e424b7f27b26
,EN,77859840.0,15/07/2016,9/11/2016,62bd54b1-6b04-4afd-9587-bf71b1935743
"4.99, 1.99, 2.99, 9.99, 19.99, 39.99","EN, FR, DE, ID, IT, JA, KO, PL, PT, RU, ZH, ES, ZH, TR",214109184.0,8/05/2014,3/12/2018,d09f0cdc-9104-4aeb-a717-a28714526e3c
,EN,33672192.0,4/02/2017,6/02/2017,83e7786c-db28-4f00-8f0b-5a19af858e96
"4.99, 4.99, 3.99, 11.99","EN, JA",112240640.0,11/10/2010,30/07/2019,61eeae4d-dfc1-4d2e-afc3-ba2e04c36f97
,"EN, JA",222058496.0,22/09/2015,18/10/2015,3f9dbc2a-b8b5-4d53-927e-e323a0b28144
"1.99, 0.99","EN, DE, RU",80580608.0,30/05/2015,29/03/2016,7bddd84e-64c3-4aa7-a60f-38c42c8a1f39
,EN,175254528.0,20/10/2016,20/10/2016,bc75a927-f3d9-4189-80ee-3ac8f5a8ef58
"9.99, 99.99, 4.99, 0.99, 19.99, 5.99, 0.99, 49.99, 2.99, 3.99","AR, ZH, DA, NL, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, SV, TH, ZH, TR",342050816.0,16/07/2017,25/07/2019,fed52a37-9d0a-45d8-b5bd-83eb4af4142b
,EN,111792128.0,30/05/2018,30/05/2018,606443ca-8751-4d34-aae4-13aba78fc3d5
"8.99, 1.99, 3.99, 17.99, 26.99, 44.99, 89.99, 4.99, 4.99, 26.99",EN,31551488.0,19/03/2018,10/07/2019,00a6618b-0054-4170-bc4e-9c5df7ee7fcc
,EN,14603264.0,8/06/2018,8/06/2018,f1ce42a2-74d4-4d63-a719-34ba634ee742
,EN,501229568.0,1/08/2018,7/04/2019,0359a0b7-ab6b-456e-b82d-dd9091d22856
,EN,22427648.0,25/08/2018,25/08/2018,ceaa35c4-8cec-4d19-9918-89f601f3129c
"0.99, 2.99, 4.99, 9.99, 24.99, 14.99","EN, JA, KO, ZH, ZH",91386880.0,28/03/2013,6/01/2016,30096073-0df3-4012-ad2e-9fbfc602eb4a
,EN,77092864.0,7/05/2018,7/05/2018,074db70b-aa01-4e30-8bb3-17abe91e5c06
,EN,35763200.0,31/07/2017,3/08/2019,77eefb49-1204-4248-80f3-f83fadc81d06
"2.99, 3.99, 0.99, 6.99, 1.99, 2.99, 0.99, 1.99",EN,423993344.0,30/05/2015,20/06/2015,b43c2bde-97c8-4140-a63c-d9053c3d8d55
,EN,88453120.0,14/02/2013,12/07/2013,f25b2f24-cb68-49d9-bb92-8f2639e87765
0.99,EN,75590656.0,3/06/2018,27/06/2018,399b924b-7e23-4f35-bf2c-16602b84df5b
"6.99, 5.99, 1.99, 19.99, 0.99, 9.99, 49.99, 1.99, 1.99, 1.99","EN, JA, KO, ZH, ZH",130814976.0,5/10/2016,7/03/2019,8dd6fb32-1930-4088-a57a-673562b6e4dc
0.99,EN,4358144.0,12/02/2014,4/06/2014,39bcba25-9ba7-448d-9d77-c7e7c470a555
,EN,69488640.0,5/04/2019,5/04/2019,d9a0176f-d058-40cf-8007-4895715a1dd4
,EN,30535680.0,24/03/2014,16/04/2014,de004eb6-4b86-423c-9946-bbb7e33ec49a
,EN,5562368.0,6/12/2013,6/12/2013,834a5021-c684-4167-b7f4-0419d88f4542
,EN,160689152.0,31/05/2019,31/05/2019,05636c91-f765-4732-81de-5fbf757ba8cf
"0.99, 4.99, 1.99",CS,114970624.0,24/07/2016,9/10/2018,79ab9d20-73ee-45b3-a45b-f92c3dea17c4
,EN,28376064.0,10/08/2017,10/08/2017,9ee14668-2996-41aa-b173-cce175bec36e
,EN,47612928.0,26/04/2019,4/05/2019,656f2c2b-4591-4d01-9be2-55bd926dfa54
,EN,75919360.0,12/11/2010,15/11/2016,1beac823-2d4e-4d21-8cad-68bb927ab347
,"EN, ZH, ZH",15066112.0,23/09/2018,23/09/2018,1e6d998f-dfcd-4069-83f5-3c9010b61593
,EN,89621504.0,14/11/2018,1/04/2019,1482e95d-c594-42cd-90d2-3fdd056f427f
2.99,"CA, EN, FR, DE, ES",54369280.0,12/01/2017,1/04/2019,920a004f-a5da-4c28-9e86-641f234a1f35
,"EN, ZH",17515520.0,11/04/2019,28/05/2019,8b0eab2b-ecec-4217-ad40-9b0833677359
,EN,1260544.0,9/11/2015,31/12/2018,06352980-7080-4576-8ac0-0ba8154463b5
,EN,43388928.0,13/03/2014,25/08/2015,5616576c-1d4a-4ebd-9a95-59632d829b00
"3.99, 1.99",EN,219613184.0,18/01/2018,18/01/2018,2d233346-4a41-416c-bd44-fd6a591a911d
"1.99, 4.99",EN,390184960.0,7/06/2019,7/06/2019,dc4bd82b-68d8-4d8a-b5a4-80fbd157af40
"0.99, 0.99","EN, ZH, ZH",29192192.0,21/01/2011,2/12/2015,3fa1e310-ee85-46f8-8066-cb48df37f9d8
"0.99, 1.99, 4.99, 9.99, 0.99, 1.99, 4.99, 9.99",EN,16912384.0,4/06/2014,4/06/2014,ee5f9423-d712-4cb1-b09a-16d8dc1bafdd
"19.99, 4.99, 9.99, 9.99, 99.99, 38.99, 99.99, 19.99","EN, ZH",23643136.0,29/09/2016,25/09/2017,de1cfd4c-bbe3-45c2-bf57-7cbe6fe7bc7e
3.99,"EN, JA, ZH",12973056.0,22/10/2013,15/07/2019,0bff4950-3fea-4122-bfee-3abcfea1f525
,EN,8094720.0,30/05/2014,14/09/2018,e18487d0-a923-4d61-8303-1e4bf08783d5
,EN,87393280.0,8/03/2018,7/07/2019,66d71d99-8593-4712-8a0c-11ea6ed8d444
"0.99, 1.99, 9.99, 1.99, 0.99, 0.99, 0.99",EN,411834368.0,12/12/2014,25/10/2016,63342a2c-4ce0-429c-902b-a2dad329cc8c
"0.99, 1.99",EN,22685696.0,12/09/2016,25/04/2017,186b6ff6-e56e-4581-bd7e-b83961b8b62a
,EN,18551808.0,16/02/2019,16/02/2019,3d95ce55-f40c-453d-bc4b-7d0a3359e1cf
,EN,6071296.0,9/08/2018,9/08/2018,9d3dde0a-e445-48ad-b2c6-23abfcfd4a7d
0.99,EN,11603968.0,8/07/2013,8/07/2013,7c92a3c8-75d4-4d89-8d83-634dfc408bf4
,EN,146486272.0,23/03/2019,23/03/2019,edb7fad8-a06a-4dce-a816-f0462dd03f2e
,EN,89848832.0,11/01/2015,22/11/2017,4e592926-68af-48ca-8275-1c6d9e525e8d
"1.99, 1.99, 4.99, 7.99, 7.99, 2.99, 9.99, 7.99, 1.99, 14.99",EN,165830656.0,3/08/2017,19/05/2019,76aff318-4aea-46e1-929f-a3eea2594fbf
0.99,EN,83785728.0,10/09/2016,10/07/2018,1a4582fc-f52c-4d8c-b0e3-5b72a3758e79
,EN,57932800.0,23/10/2012,19/11/2018,0d231b6a-4e06-43a5-9d84-9a300ea59cea
,EN,1265664.0,1/08/2017,30/09/2017,42917326-1c9a-41a5-9553-0dad18159cf4
2.99,"EN, JA, KO, ZH",26664960.0,16/08/2012,21/10/2015,f80cd420-7f69-4d2a-8a4c-50155ca1bae0
0.99,EN,18973696.0,8/01/2015,7/03/2017,94c8c0e0-50c5-43c4-b732-42368ae3999d
,EN,29443072.0,27/02/2016,27/02/2016,5244d7fc-799f-4b9e-98b8-93be793d7544
,EN,7703552.0,1/05/2009,21/06/2017,a0caee3b-cccc-4642-a7e4-1f8c30c9702c
,EN,192329728.0,13/06/2017,15/06/2017,b5b43ed2-a5e5-4f56-88d5-c0cfefb56595
"9.99, 9.99, 4.99, 5.99, 9.99, 2.99, 5.99, 24.99, 4.99, 9.99","ZH, EN, FR, DE, ID, KO, PT, RU, ZH, ES, ZH",199922688.0,24/03/2019,29/07/2019,a706e02b-e7e6-41a0-969e-4e57d9bfd2c4
,EN,5690368.0,14/11/2016,15/11/2016,fbbff40f-4db0-4722-a652-fff8b9146360
,EN,143453184.0,18/10/2018,18/10/2018,0db72cbd-dbf1-4c40-8377-542412923ba0
,EN,141586432.0,15/09/2017,4/02/2019,c3022069-4d60-4e11-a342-1b4d4ed07f21
0.99,"EN, FR",39727104.0,13/06/2013,28/04/2016,5e1ecbdd-9e5b-42fb-9845-61d60e0d7aaa
,EN,27885568.0,1/02/2016,1/02/2016,66796c28-b643-4260-b693-b4fc1059917d
,EN,58010624.0,9/05/2019,9/05/2019,44a6570f-a3a9-4f90-91c3-7b3105dbe6ac
"0.99, 4.99","AR, ZH, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",192962560.0,16/03/2018,4/07/2018,223eed4e-1930-4b3e-8d09-d4b826c13db6
4.99,EN,193089536.0,23/04/2017,5/02/2019,cdca71df-766c-438a-8429-b001e82f5f7d
"1.99, 1.99",EN,16644096.0,21/04/2017,4/07/2017,95783113-eb96-473e-a882-f6ab3b2614df
0.99,EN,76805120.0,29/05/2017,29/05/2017,2a76cbf5-b2e8-408e-840b-e56aa588446d
"35.99, 8.99, 17.99, 13.99",EN,259159040.0,28/09/2018,24/04/2019,6055a46c-f6ef-4ce9-9089-e050ac20bd01
,EN,13715456.0,26/09/2016,22/01/2019,c9e854ba-14a7-44d8-a328-a49fd2c5af74
,EN,39549952.0,23/12/2013,2/01/2018,b930f9b9-0202-471f-945e-44982e090f9c
"4.99, 19.99, 9.99, 9.99, 99.99, 49.99, 4.99, 19.99, 19.99, 0.99","NL, EN, FR, DE, IT, PL, PT, RU, ES, TR",216279040.0,10/11/2015,2/05/2019,7c55f34b-d728-4a77-8db7-b58e09dd7e6f
"1.99, 1.99, 0.99","EN, FR, DE, IT, JA, PL, PT, RU, ES",166424576.0,2/01/2018,28/09/2018,531a1a9f-2e5b-4042-aa33-381fc438dbd0
,EN,89844736.0,13/08/2018,13/08/2018,94a64fea-0772-4fca-ab3b-ed6f604cb51d
,"EN, ZH, ZH",12396544.0,8/02/2015,20/12/2018,770e4393-addb-4f41-b13d-442800cf27d1
,EN,11960320.0,4/03/2015,4/03/2015,78e58cf3-1cf4-4f9e-b761-4083c038c14b
,EN,7095296.0,21/12/2011,13/11/2017,07202154-4647-4f03-ab21-b9f8ebbbabe1
4.99,EN,119776256.0,25/08/2018,25/08/2018,391f28eb-873c-4e08-91fb-fb73fca999a4
,EN,31489024.0,5/04/2016,26/06/2019,03684b49-65f2-4f13-9a70-63533595d3d0
1.99,"AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI",29470720.0,8/06/2015,8/06/2015,3c750da5-4a8c-45ac-b279-494ffbe7ebbd
4.99,"EN, FR, DE, JA, KO, PT, RU, ZH, ZH",48697344.0,10/02/2018,24/07/2019,7bd0ae18-bb14-44e4-aba5-92a57ec65711
"0.99, 1.99, 3.99, 19.99, 9.99",EN,19580186.0,14/12/2011,7/01/2012,1079fdad-1585-41cb-aee6-592cc13887ee
"2.99, 2.99, 1.99, 0.99, 1.99, 1.99, 1.99, 1.99, 1.99",EN,64993280.0,8/09/2015,22/09/2017,f9f5a93b-e899-49bb-948a-3781db47a318
"0.99, 1.99, 2.99, 0.99","EN, HU",31110144.0,11/01/2018,14/01/2018,3593e60b-c2fc-4f69-a7d9-e49f8a81e7c9
"4.99, 9.99, 19.99, 49.99, 99.99","EN, DE",33398784.0,2/08/2014,10/10/2014,173cbb94-ab55-4fc9-9ced-0c9a5d2cc0cf
,EN,38838272.0,26/04/2015,27/08/2015,114f5530-00fb-4df8-b2a2-0a84127685d7
"6.99, 0.99, 2.99, 4.99",EN,69208064.0,27/07/2016,10/05/2017,a1459290-b89b-4adf-afcc-e2b1a84291d8
,EN,16224256.0,1/03/2014,1/03/2014,9ecc5975-7c26-4cdd-aaef-977152b60c72
,"CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",36315136.0,5/10/2014,23/06/2019,6a1ef796-d7a0-4f92-a0cd-8589a6515a74
5.99,"DA, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH",22546432.0,25/01/2013,11/05/2018,4ab93edd-bf49-471a-bf54-f4506eefede5
"4.99, 19.99, 9.99, 29.99, 49.99, 99.99, 4.99, 19.99, 19.99, 49.99","BG, CS, DA, NL, EN, FI, FR, DE, EL, HU, IT, JA, LT, NO, PL, PT, RO, RU, SK, ES, SV, TR",196732928.0,3/08/2018,29/11/2018,780ea49a-1162-4a95-a402-4215cee4846f
"0.99, 0.99, 10.99, 3.99, 1.99, 5.99, 0.99, 1.99, 13.99, 4.99","EN, ES",151874560.0,12/03/2018,12/07/2019,ca846679-5e74-430b-848e-bee4381dd161
,EN,17539957.0,9/04/2013,9/04/2013,b0897754-3ba2-4f3b-a0e9-16c9404c0455
,EN,105567232.0,28/07/2017,31/07/2017,989ad2fa-4497-44e1-ae62-05b5c3a46664
"0.99, 4.99, 1.99, 6.99, 0.99",EN,168098816.0,19/04/2017,19/04/2017,71a1a05b-585d-40d0-99a6-76bc3ecb8825
1.99,EN,21838848.0,15/10/2011,23/01/2018,3f13171a-f2c8-4f4b-968d-004844b25d7c
"0.99, 0.99, 1.99, 3.99, 0.99, 4.99, 0.99, 8.99, 3.99, 18.99",EN,283689984.0,5/01/2019,23/07/2019,0b8bacd8-cbcb-4cf6-911b-3ae437b9656c
,EN,159561728.0,3/03/2019,3/03/2019,6cd9c514-86a9-4a3a-a201-044436b06fd0
"9.99, 4.99, 6.99, 3.99, 1.99, 6.99, 9.99, 7.99, 4.99, 1.99",EN,268463104.0,19/01/2017,28/01/2017,0d482a58-88ea-4d3e-bb82-81cf5419a368
,EN,21204992.0,18/04/2017,27/06/2017,3929d47a-a8b7-467d-939a-57729347ab37
,EN,12513280.0,21/03/2017,21/03/2017,f41f25b0-ff45-433b-8bc3-70d8ef55d5ae
,EN,16144384.0,4/09/2017,4/09/2017,37c2beea-9b5a-48b2-b98d-84bf5cca1dcc
,EN,156635136.0,31/10/2014,4/03/2017,7d253eb8-ee95-457d-b0e7-b3b256b24f46
,EN,26401792.0,14/05/2016,15/01/2017,9440a5d0-e635-464c-8c06-e1b2d413089d
